,global_id,Наименование_поддержанной_компании,Отрасль,Подотрасль,Технология_(1_уровень),Технология_(2_уровень),Технология_(3_уровень),Сайт,Описание_компании
3008,1052653,"АО ""ЗНТЦ""",ПРОМЫШЛЕННОСТЬ,Производство электронного и электрического оборудования,Синтез материальных объектов,Инженерные комплексы,Компоненты робототехники и мехатроники,www.zntc.ru,"Зеленоградский нантехнологический центр обеспечивает полный цикл разработки и производства микросхем и датчиков физических величин для промышленных применений, оказывает комплекс технологических услуг для дизайн-центров, производителей радиоэлектронной аппаратуры
Приоритетным направлением деятельности компании является развитие современных технологий производства и разработка перспективной высокотехнологичной продукции совместно с ведущими российскими научными организациями и производственными п"
953,1011430,"АО ""ЗНТЦ""",ПРОМЫШЛЕННОСТЬ,Производство электронного и электрического оборудования,Обработка и преобразование информации,Обработка и хранение больших данных,Интегральные схемы микро- и нано- электроники,https://zntc.ru/,Полный цикл разработки и контрактного производства изделий микроэлектроники и микросистемной техники
1419,1025814,"АО ""ФИРМА ""ПЕРМАНЕНТ К&М""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Инженерные комплексы,Системы и комплексы утилизации и переработки отходов,www.permanent.ru,"АО Фирма Перманент К&М - профессиональное объединение в области промышленного инжиниринга, поставок импортного оборудования, запасных частей и расходных материалов для предприятий России и стран СНГ, действующее с 1993 г. 
Миссия компании - поддержка и развитие производства с внедрением применения эффективных технологии и качественных продуктов.
Компанией осуществляется:
- Разработка проектов модернизации, технического перевооружения, реконструкции действующего и организации нового производства."
1880,1033391,"АО ""ФИРМА ""ПЕРМАНЕНТ К&М""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Инженерные комплексы,Системы и комплексы утилизации и переработки отходов,www.permanent.ru,"АО Фирма Перманент К&М - профессиональное объединение в области промышленного инжиниринга, поставок импортного оборудования, запасных частей и расходных материалов для предприятий России и стран СНГ, действующее с 1993 г. 
Миссия компании - поддержка и развитие производства с внедрением применения эффективных технологии и качественных продуктов.
Компанией осуществляется:
- Разработка проектов модернизации, технического перевооружения, реконструкции действующего и организации нового производства."
2299,1040809,"АО ""ЦРИТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Обработка и преобразование информации,Обработка и хранение больших данных,Геоданные и геоинформационные технологии,http://itdcenter.ru/,"Компания реализует проекты по созданию наземных систем планирования, приема и обработки данных дистанционного зондирования Земли в защищенном исполнении, разработке специализированного программного обеспечения и геоинформационных систем, защите геопространственной информации."
2658,1046804,"АО ""ЦРИТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Обработка и преобразование информации,Обработка и хранение больших данных,Геоданные и геоинформационные технологии,http://itdcenter.ru/,"Компания реализует проекты по созданию наземных систем планирования, приема и обработки данных дистанционного зондирования Земли в защищенном исполнении, разработке специализированного программного обеспечения и геоинформационных систем, защите геопространственной информации."
2058,1036688,"АО ""ЭНПЦ ЭПИТАЛ""",ПРОМЫШЛЕННОСТЬ,Производство новых материалов,Синтез материальных объектов,Материалы с новыми свойствами,Создание новых веществ,http://www.epital.ru/,"АО ""ЭНПЦ Эпитал"" существует с 1999 г. Основные направления деятельности - разработка, производство и реализация эпоксидных компаундов (полимерных матриц) и отвердителей широкого для антикоррозионных и декоративных покрытий, композитных изделий, клеев, электроники и электротехники.
Производимые продукты:
Эпоксидные составы для изготовления высокопрочных композитов широкого спектра применения: 
- композитных труб c Т жидкой среды до 150°С, (в т.ч. для транспортировки нефти, холодной и горячей воды"
1364,1025235,"АО ""ЭНПЦ ЭПИТАЛ""",ПРОМЫШЛЕННОСТЬ,Производство новых материалов,Синтез материальных объектов,Материалы с новыми свойствами,Создание новых веществ,http://www.epital.ru/,"АО ""ЭНПЦ Эпитал"" существует с 1999 г. Основные направления деятельности - разработка, производство и реализация эпоксидных компаундов (полимерных матриц) и отвердителей широкого для антикоррозионных и декоративных покрытий, композитных изделий, клеев, электроники и электротехники.
Производимые продукты:
Эпоксидные составы для изготовления высокопрочных композитов широкого спектра применения: 
- композитных труб c Т жидкой среды до 150°С, (в т.ч. для транспортировки нефти, холодной и горячей воды"
3276,1056860,"МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА, МГУ ИМЕНИ М.В.ЛОМОНОСОВА, МОСКОВСКИЙ УНИВЕРСИТЕТ ИЛИ МГУ",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,"Заказные исследования и разработки, государственное управление исследованиями",Сбор информации об объекте,Физико-химические методы,Методы регистрации ионизирующих и высокоэнергетических излучений,www.msu.ru,"НИИЯФ МГУ, на базе которого выполняется проект, является одним из крупнейших научно-исследовательских институтов МГУ имени М.В.Ломоносова, международно признанным учебно-научным центром, интегрированным в образовательный процесс МГУ и являющимся базой подготовки студентов и аспирантов по направлениям физики космоса, ядерной, атомной, медицинской физики и др.
НИИЯФ МГУ разрабатывает, изготавливает и эксплуатирует различные детекторы космической радиации, другие изделия в области научного приборос"
2898,1050756,"МОСКОВСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМЕНИ М.В.ЛОМОНОСОВА, МГУ ИМЕНИ М.В.ЛОМОНОСОВА, МОСКОВСКИЙ УНИВЕРСИТЕТ ИЛИ МГУ",ИССЛЕДОВАНИЯ И ИНЖЕНЕРНО-ТЕХНИЧЕСКОЕ ПРОЕКТИРОВАНИЕ,"Заказные исследования и разработки, государственное управление исследованиями",Сбор информации об объекте,Физико-химические методы,Методы регистрации ионизирующих и высокоэнергетических излучений,www.msu.ru,"НИИЯФ МГУ, на базе которого выполняется проект, является одним из крупнейших научно-исследовательских институтов МГУ имени М.В.Ломоносова, международно признанным учебно-научным центром, интегрированным в образовательный процесс МГУ и являющимся базой подготовки студентов и аспирантов по направлениям физики космоса, ядерной, атомной, медицинской физики и др.
НИИЯФ МГУ разрабатывает, изготавливает и эксплуатирует различные детекторы космической радиации, другие изделия в области научного приборос"
1989,1035514,"ООО ""5 ДЖИ""",ПРОЧАЯ ДЕЯТЕЛЬНОСТЬ,Прочие услуги,Синтез информации,Искусственный интеллект,"Игровой искусственный интеллект (стратегия, тактика)",Не указано,"Направление деятельности:
Онлайн-сообщество молодых ученых

Оказываемые услуги:
Оценка компетенций через моделирование сложных производственных ситуации в управлении

Производимые продукты:
- Бизнес-симуляции Science Team
- Бизнес-симуляции Тяжелая Нефть Африки"
1475,1026506,"ООО ""5 ДЖИ""",ПРОЧАЯ ДЕЯТЕЛЬНОСТЬ,Прочие услуги,Синтез информации,Искусственный интеллект,"Игровой искусственный интеллект (стратегия, тактика)",Не указано,"Направление деятельности:
Онлайн-сообщество молодых ученых

Оказываемые услуги:
Оценка компетенций через моделирование сложных производственных ситуации в управлении

Производимые продукты:
- Бизнес-симуляции Science Team
- Бизнес-симуляции Тяжелая Нефть Африки"
3707,1063839,"ООО ""АВ СОФТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Обеспечение информационной безопасности,Обработка и преобразование информации,Технологии цифровой безопасности,Методы поиска уязвимостей в информационных системах,https://avsw.ru/,"Компания АВ Софт была основана в 2010 году. Основное направление деятельности - разработка программного обеспечения в области информационной безопасности и коммуникации. Портфель продуктов содержит более 7 инновационных решений собственной разработки, а также участие в НИР по машинному обучению и оказание услуг по интеграции различной сложности.

Среди клиентов присутствуют крупные промышленные, телекоммуникационные, государственные, научно-исследовательские организации, а также SOC центры.

Все"
3667,1063070,"ООО ""АВ СОФТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Обеспечение информационной безопасности,Обработка и преобразование информации,Технологии цифровой безопасности,Методы поиска уязвимостей в информационных системах,https://avsw.ru/,"Компания АВ Софт была основана в 2010 году. Основное направление деятельности - разработка программного обеспечения в области информационной безопасности и коммуникации. Портфель продуктов содержит более 7 инновационных решений собственной разработки, а также участие в НИР по машинному обучению и оказание услуг по интеграции различной сложности.

Среди клиентов присутствуют крупные промышленные, телекоммуникационные, государственные, научно-исследовательские организации, а также SOC центры.

Все"
2134,1037976,"ООО ""АВ СОФТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Обеспечение информационной безопасности,Обработка и преобразование информации,Технологии цифровой безопасности,Методы поиска уязвимостей в информационных системах,https://avsw.ru/ ,"Компания АВ Софт была основана в 2010 году. Основное направление деятельности - разработка программного обеспечения в области информационной безопасности и коммуникации. Портфель продуктов содержит более 7 инновационных решений собственной разработки, а также участие в НИР по машинному обучению и оказание услуг по интеграции различной сложности.

Среди клиентов присутствуют крупные промышленные, телекоммуникационные, государственные, научно-исследовательсные организации, а также SOC центры.

Все"
3705,1063759,"ООО ""АВ СОФТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Обеспечение информационной безопасности,Обработка и преобразование информации,Технологии цифровой безопасности,Методы поиска уязвимостей в информационных системах,https://avsw.ru/,"Компания АВ Софт была основана в 2010 году. Основное направление деятельности - разработка программного обеспечения в области информационной безопасности и коммуникации. Портфель продуктов содержит более 7 инновационных решений собственной разработки, а также участие в НИР по машинному обучению и оказание услуг по интеграции различной сложности.

Среди клиентов присутствуют крупные промышленные, телекоммуникационные, государственные, научно-исследовательские организации, а также SOC центры.

Все"
470,811287,"ООО ""АГЕНТУМ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Деятельность по созданию новых информационных технологий,Обработка и преобразование информации,Интеллектуальные системы управления,Системы планирования ресурсов предприятий (ERP),https://navigator.sk.ru/orn/1123248,"Система управления сотрудниками и качеством на удаленных объектах.В 2014 году группа экспертов из строительной и IT-индустрии образовали команду Агентум. Наша задача была изучить лучшие практики рынка по контролю строительства, чтобы снизить человеческий фактор при проведении работ. За пять лет мы разработали следующие программы: Агентум.качество - контролирует качество выполнения работ на удаленных объектах, Агентум.надзор - автоматизирует технический и авторский надзор, Агентум.обследование - "
3207,1055801,"ООО ""АГЕНТУМ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Разработка аппаратно-программных комплексов,Сбор информации об объекте,Физико-химические методы,Регистрация и преобразование оптических сигналов,http://agentum.org/,"Компания занимается производством программного и аппаратного обеспечения, ПАК, для целей инвентаризации объектов инфраструктуры, сбора и обработки данных для составления карт и схем. Компания также предоставляет готовые данные, лицензии на программное обеспечение и оборудование в тематиках инвентаризации, управления работой (Work Force Management) и картографии"
2268,1040306,"ООО ""АГР СОФТВЕР""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления производственными процессами (MES),www.agr4.ru,"ООО «АГР Софтвер» – ведущий российский поставщик инновационных IT-решений для автоматизации поисковых, разведочных и добычных работ. Компания является разработчиком информационной системы АГР. Компания оказывает услуги по разработке, внедрению и технической поддержке информационной системы АГР. Также, компания оказывает консалтинговые услуги по разработке электронных шаблонов для документации горных выработок."
2931,1051417,"ООО ""АГР СОФТВЕР""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Обработка и преобразование информации,Интеллектуальные системы управления,Системы управления производственными процессами (MES),www.agr4.ru,"ООО «АГР Софтвер» – ведущий российский поставщик инновационных IT-решений для автоматизации поисковых, разведочных и добычных работ. Компания является разработчиком информационной системы АГР. Компания оказывает услуги по разработке, внедрению и технической поддержке информационной системы АГР. Также, компания оказывает консалтинговые услуги по разработке электронных шаблонов для документации горных выработок."
245,811041,"ООО ""АГР СОФТВЕР""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Обработка и преобразование информации,Обработка и хранение больших данных,Предсказательная аналитика,http://www.agr4.ru,"Компания ООО«АГР Софтвер» является передовым и единственным отечественным производителем и поставщиком IT-решений в части сбора и хранения геологоразведочных данных. Компания поставляет инновационные IT-решения для автоматизации геологоразведки. Разрабатываемый продукт - информационная система АГР. Компания ООО «АГР Софтвер» была создана в 2015 году. В компании имеются подразделения по разработке, внедрению и технической поддержке информационной системы АГР. В настоящее время ведутся активные ра"
1441,1026092,"ООО ""АГРОИНТЕХ""",СЕЛЬСКОЕ ХОЗЯЙСТВО (ВКЛЮЧАЯ РЫБОЛОВСТВО),Растениеводство,Синтез материальных объектов,Синтез живых организмов и систем,Технологии селекции растений,http://agrointeh76.ru,"Основное направление деятельности: научные исследования и разработки в области биотехнологий и сельского хозяйства. Виды выпускаемой продукции/услуг: посадочный материал (рассада свежевыкопанная, рассада фриго) земляники ремонтантной розовоцветковой; ягоды земляники садовой свежие, замороженные, сублимированные; декоративное растение «земляника ремонтантная розовоцветковая Fragaria хananassa Duch » в кашпо; технология ускоренного получения ремонтантного розовоцветкового сорта земляники с комплек"
1278,1024240,"ООО ""АГРОИНТЕХ""",СЕЛЬСКОЕ ХОЗЯЙСТВО (ВКЛЮЧАЯ РЫБОЛОВСТВО),Растениеводство,Синтез материальных объектов,Синтез живых организмов и систем,Технологии селекции растений,Не указано,"Основное направление деятельности: научные исследования и разработки в области биотехнологий и сельского хозяйства. Виды выпускаемой продукции/услуг: посадочный материал (рассада свежевыкопанная, рассада фриго) земляники ремонтантной розовоцветковой; ягоды земляники садовой свежие, замороженные, сублимированные; декоративное растение «земляника ремонтантная розовоцветковая Fragaria хananassa Duch » в кашпо; технология ускоренного получения ремонтантного розовоцветкового сорта земляники с комплек"
2718,1047821,"ООО ""АГРОМИГ""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Инженерные комплексы,Сельскохозяйственный инжиниринг,http://zavodagromig.ru/,"ООО «АГРОМИГ» является машиностроительным предприятием и специализируется на производстве зерносушильного оборудования для предприятий агропромышленного комплекса, в основном: семеноводческих хозяйств, элеваторов и фермерских хозяйств.
Основная выручка компании сейчас формируется за счет выпуска линейки зерносушилок «МИГ» с производительностью от 3 до 200 тонн/час.
Несмотря на то, что предприятие существует меньше 5 лет, сейчас ООО «АГРОМИГ» является одним из лидеров по производству зерносушильн"
2429,1042945,"ООО ""АГРОМИГ""",ПРОМЫШЛЕННОСТЬ,Машиностроение,Синтез материальных объектов,Инженерные комплексы,Сельскохозяйственный инжиниринг,http://zavodagromig.ru/,"ООО «АГРОМИГ» является машиностроительным предприятием и специализируется на производстве зерносушильного оборудования для предприятий агропромышленного комплекса, в основном: семеноводческих хозяйств, элеваторов и фермерских хозяйств.
Основная выручка компании сейчас формируется за счет выпуска линейки зерносушилок «МИГ» с производительностью от 3 до 200 тонн/час.
Несмотря на то, что предприятие существует меньше 5 лет, сейчас ООО «АГРОМИГ» является одним из лидеров по производству зерносушильн"
3425,1059308,"ООО ""АГРОНОУТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Обработка и преобразование информации,Интеллектуальные системы управления,Технологии управление информационными процессами жизненного цикла изделия (PDM),agronote.ru,"Компания «Агроноут» является экспертной компанией в области почвоведения и точного земледелия. Ее директор и основатель Алексей Трубников, сын фермера из Тамбовской области, в 20 лет окончил Тимирязевскую академию (кафедра почвоведения, геологии и ландшафтоведения) и имеет опыт более 17 лет работы в сельском хозяйстве."
269,811067,"ООО ""АГРОНОУТ""",ТЕЛЕКОММУНИКАЦИИ И ИНТЕРНЕТ,Специализированные информационные системы,Обработка и преобразование информации,Обработка и хранение больших данных,"Методы и способы визуализации, представления и использования больших данных человеком",http://agronote.ru,"ООО ""Агроноут"""
240,811036,"ООО ""АЙ-ТОР""",ПРОМЫШЛЕННОСТЬ,Производство электронного и электрического оборудования,Синтез материальных объектов,Инженерные комплексы,"Аппаратно-программные комплексы для интеллектуальных электрических сетей (smart grid, microgrid)",https://www.i-tor.ru,"ООО «АЙ-ТОР» разрабатывает инновационные электрические аппараты для коммерческого учёта и мониторинга в высоковольтных сетях. Основными особенностями разработок являются: малые габариты и масса, высокая точность измерений, возможность монтажа на границе балансовой принадлежности, невысокая стоимость внедрения. В компании трудится 37 человек, внедрена и сертифицирована система менеджмента качества ISO9001, действует собственное производство и аттестованная метрологическая лаборатория. Продукция к"
